gene	Gene.ontology.IDs
ENSGACT00000005067.1	GO:0001525;GO:0001570;GO:0001702;GO:0005886;GO:0007369;GO:0007507;GO:0008078;GO:0016021;GO:0016477;GO:0035479;GO:0035987;GO:0043951;GO:0045766;GO:0048738;GO:0051281;GO:0060182;GO:0060976;GO:0090162;GO:1900107;GO:1903589;GO:1904325
ENSGACT00000022653.1	GO:0001525;GO:0001570;GO:0001702;GO:0005886;GO:0007369;GO:0007507;GO:0008078;GO:0016021;GO:0016477;GO:0035479;GO:0035987;GO:0043951;GO:0045766;GO:0048738;GO:0051281;GO:0060182;GO:0060976;GO:0090162;GO:1900107;GO:1903589;GO:1904325
ENSGACT00000000207.1	GO:0005576;GO:0044179;GO:0090729
ENSGACT00000001881.1	GO:0005576;GO:0044179;GO:0090729
ENSGACT00000002297.1	GO:0005576;GO:0044179;GO:0090729
ENSGACT00000002368.1	GO:0005576;GO:0044179;GO:0090729
ENSGACT00000002874.1	GO:0005576;GO:0044179;GO:0090729
ENSGACT00000000288.1	GO:0005576;GO:0044179;GO:0090729
ENSGACT00000001227.1	GO:0005576;GO:0044179;GO:0090729
ENSGACT00000004466.1	GO:0005576;GO:0044179;GO:0090729
ENSGACT00000000862.1	GO:0005576;GO:0044179;GO:0090729
ENSGACT00000014865.1	GO:0005576;GO:0044179;GO:0090729
ENSGACT00000023478.1	GO:0005576;GO:0044179;GO:0090729
ENSGACT00000000208.1	GO:0005576;GO:0044179;GO:0090729
ENSGACT00000023884.1	GO:0005576;GO:0044179;GO:0090729
ENSGACT00000000686.1	GO:0005576;GO:0044179;GO:0090729
ENSGACT00000001137.1	GO:0005576;GO:0044179;GO:0090729
ENSGACT00000001080.1	GO:0005576;GO:0044179;GO:0090729
ENSGACT00000000209.1	GO:0005576;GO:0044179;GO:0090729
ENSGACT00000001225.1	GO:0005576;GO:0044179;GO:0090729
ENSGACT00000014353.1	GO:0005576;GO:0044179;GO:0090729
ENSGACT00000002372.1	GO:0005576;GO:0044179;GO:0090729
ENSGACT00000000871.1	GO:0005576;GO:0044179;GO:0090729
ENSGACT00000001446.1	GO:0005576;GO:0044179;GO:0090729
ENSGACT00000004461.1	GO:0005576;GO:0044179;GO:0090729
ENSGACT00000019500.1	GO:0005576;GO:0044179;GO:0090729
ENSGACT00000017901.1	GO:0005576;GO:0044179;GO:0090729
ENSGACT00000019543.1	GO:0005576;GO:0044179;GO:0090729
ENSGACT00000023009.1	GO:0005576;GO:0044179;GO:0090729
ENSGACT00000000695.1	GO:0005576;GO:0044179;GO:0090729
ENSGACT00000016080.1	GO:0005576;GO:0044179;GO:0090729
ENSGACT00000016078.1	GO:0005576;GO:0044179;GO:0090729
ENSGACT00000001615.1	GO:0005576;GO:0044179;GO:0090729
ENSGACT00000015945.1	GO:0005576;GO:0044179;GO:0090729
ENSGACT00000023815.1	GO:0005615;GO:0016021;GO:0030054;GO:0031012;GO:0045211
ENSGACT00000025576.1	GO:0003682;GO:0004674;GO:0004697;GO:0005524;GO:0005634;GO:0005737;GO:0005768;GO:0006357;GO:0006468;GO:0010631;GO:0017049;GO:0018105;GO:0030374;GO:0030496;GO:0032154;GO:0035402;GO:0035407;GO:0035556;GO:0042393;GO:0042826;GO:0048365;GO:0050681;GO:2000145
ENSGACT00000004534.1	GO:0000398;GO:0005681;GO:0016607;GO:0030628;GO:0046872;GO:0050733;GO:0089701
ENSGACT00000019338.1	GO:0000398;GO:0005681;GO:0016607;GO:0030628;GO:0046872;GO:0050733;GO:0089701
ENSGACT00000019327.1	GO:0000398;GO:0005681;GO:0016607;GO:0030628;GO:0046872;GO:0050733;GO:0089701
ENSGACT00000025666.1	GO:0005154;GO:0005158;GO:0005868;GO:0005886;GO:0015031;GO:0031201;GO:0031901;GO:0032456;GO:0035091;GO:1903595;GO:1990459;GO:1990460
ENSGACT00000025663.1	GO:0005154;GO:0005158;GO:0005868;GO:0005886;GO:0015031;GO:0031201;GO:0031901;GO:0032456;GO:0035091;GO:1903595;GO:1990459;GO:1990460
ENSGACT00000006758.1	GO:0005337;GO:0005765;GO:0005794;GO:0016021;GO:0031902
ENSGACT00000014570.1	GO:0002161
ENSGACT00000007795.1	GO:0005229;GO:0005886;GO:0006821;GO:0016021;GO:0017128;GO:0034220;GO:0061589;GO:0061590;GO:0061591;GO:1902939
ENSGACT00000018679.1	GO:0005229;GO:0005886;GO:0006821;GO:0016021;GO:0017128;GO:0034220;GO:0061589;GO:0061590;GO:0061591;GO:1902939
ENSGACT00000007791.1	GO:0005229;GO:0005886;GO:0006821;GO:0016021;GO:0017128;GO:0034220;GO:0061589;GO:0061590;GO:0061591;GO:1902939
ENSGACT00000017665.1	GO:0005096;GO:0005776;GO:0006886;GO:0006914;GO:0017137;GO:0031410;GO:0090630;GO:1901096
ENSGACT00000005819.1	GO:0005829;GO:0006897;GO:0008104;GO:0030139;GO:0042147
ENSGACT00000002026.1	GO:0000777;GO:0005794;GO:0005815;GO:0005828;GO:0005881;GO:0007020;GO:0007049;GO:0031023;GO:0034453;GO:0043515;GO:0051010;GO:0051301
ENSGACT00000007268.1	GO:0000777;GO:0005794;GO:0005815;GO:0005828;GO:0005881;GO:0007020;GO:0007049;GO:0031023;GO:0034453;GO:0043515;GO:0051010;GO:0051301
ENSGACT00000003442.2	GO:0000122;GO:0000932;GO:0005634;GO:0010606;GO:0017148;GO:0030014;GO:0030331;GO:0031047;GO:0032947;GO:0033147;GO:0042974;GO:0048387;GO:0048589;GO:0060213;GO:1900153
