"Kingdom" "Phylum" "Class" "Order" "Family" "Genus" "Species"
"Otu00119" "Bacteria" "Actinobacteria" "Actinobacteria" "Acidimicrobiales" "Acidimicrobiales_unclassified" "Acidimicrobiales_unclassified" ""
"Otu00120" "Bacteria" "Chloroflexi" "Chloroflexi_unclassified" "Chloroflexi_unclassified" "Chloroflexi_unclassified" "Chloroflexi_unclassified" ""
"Otu00121" "Bacteria" "Bacteria_unclassified" "Bacteria_unclassified" "Bacteria_unclassified" "Bacteria_unclassified" "Bacteria_unclassified" ""
"Otu00122" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Neisseriales" "Neisseriaceae" "Chitinibacter" ""
"Otu00123" "Bacteria" "Bacteria_unclassified" "Bacteria_unclassified" "Bacteria_unclassified" "Bacteria_unclassified" "Bacteria_unclassified" ""
"Otu00124" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Burkholderiales_unclassified" "Burkholderiales_unclassified" ""
"Otu00125" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Rhizobiales_unclassified" "Rhizobiales_unclassified" ""
"Otu00126" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Lachnospiraceae_unclassified" ""
"Otu00127" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Enterobacteriales" "Enterobacteriaceae" "Enterobacteriaceae_unclassified" ""
"Otu00128" "Bacteria" "Chloroflexi" "Caldilineae" "Caldilineales" "Caldilineaceae" "Caldilineaceae_unclassified" ""
"Otu00129" "Bacteria" "Firmicutes" "Bacilli" "Bacillales" "Bacillales_unclassified" "Bacillales_unclassified" ""
"Otu00130" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Clostridium_XlVb" ""
"Otu00131" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Xanthomonadales" "Xanthomonadaceae" "Ignatzschineria" ""
"Otu00132" "Bacteria" "Bacteria_unclassified" "Bacteria_unclassified" "Bacteria_unclassified" "Bacteria_unclassified" "Bacteria_unclassified" ""
"Otu00133" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Clostridium_XlVb" ""
"Otu00134" "Bacteria" "Actinobacteria" "Actinobacteria" "Actinomycetales" "Actinomycetales_unclassified" "Actinomycetales_unclassified" ""
"Otu00135" "Bacteria" "Firmicutes" "Bacilli" "Bacillales" "Bacillales_unclassified" "Bacillales_unclassified" ""
"Otu00136" "Bacteria" "Bacteria_unclassified" "Bacteria_unclassified" "Bacteria_unclassified" "Bacteria_unclassified" "Bacteria_unclassified" ""
"Otu00137" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Clostridiaceae_1" "Clostridiaceae_1_unclassified" ""
"Otu00138" "Bacteria" "Firmicutes" "Bacilli" "Bacillales" "Staphylococcaceae" "Macrococcus" ""
"Otu00139" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Clostridiaceae_1" "Clostridiaceae_1_unclassified" ""
"Otu00140" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Peptostreptococcaceae" "Clostridium_XI" ""
"Otu00141" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Oxalobacteraceae" "Duganella" ""
"Otu00142" "Bacteria" "Synergistetes" "Synergistia" "Synergistales" "Synergistaceae" "Synergistaceae_unclassified" ""
"Otu00143" "Bacteria" "Verrucomicrobia" "Spartobacteria" "Spartobacteria_unclassified" "Spartobacteria_unclassified" "Spartobacteria_unclassified" ""
"Otu00144" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Sphingomonadales" "Sphingomonadaceae" "Sphingorhabdus" ""
"Otu00145" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Rhizobiales_unclassified" "Rhizobiales_unclassified" ""
"Otu00146" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Ruminococcaceae_unclassified" ""
"Otu00147" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Peptostreptococcaceae" "Clostridium_XI" ""
"Otu00148" "Bacteria" "Bacteria_unclassified" "Bacteria_unclassified" "Bacteria_unclassified" "Bacteria_unclassified" "Bacteria_unclassified" ""
"Otu00149" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Bradyrhizobiaceae" "Bosea" ""
"Otu00150" "Bacteria" "Actinobacteria" "Actinobacteria" "Actinomycetales" "Actinomycetales_unclassified" "Actinomycetales_unclassified" ""
"Otu00151" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Rhizobiales_unclassified" "Rhizobiales_unclassified" ""
"Otu00152" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Lachnospiraceae_unclassified" ""
"Otu00153" "Bacteria" "Planctomycetes" "Planctomycetia" "Planctomycetales" "Planctomycetaceae" "Planctomycetaceae_unclassified" ""
"Otu00154" "Bacteria" "Actinobacteria" "Actinobacteria" "Actinomycetales" "Micrococcaceae" "Kocuria" ""
"Otu00155" "Bacteria" "Firmicutes" "Firmicutes_unclassified" "Firmicutes_unclassified" "Firmicutes_unclassified" "Firmicutes_unclassified" ""
"Otu00156" "Bacteria" "Firmicutes" "Bacilli" "Bacillales" "Planococcaceae" "Jeotgalibacillus" ""
"Otu00157" "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Lactobacillales_unclassified" "Lactobacillales_unclassified" ""
"Otu00158" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Ruminococcaceae_unclassified" ""
"Otu00159" "Bacteria" "Bacteria_unclassified" "Bacteria_unclassified" "Bacteria_unclassified" "Bacteria_unclassified" "Bacteria_unclassified" ""
"Otu00160" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Ruminococcaceae_unclassified" ""
"Otu00161" "Bacteria" "Firmicutes" "Negativicutes" "Selenomonadales" "Veillonellaceae" "Veillonella" ""
"Otu00162" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Anaerorhabdus" ""
"Otu00163" "Bacteria" "Chlamydiae" "Chlamydiia" "Chlamydiales" "Chlamydiales_unclassified" "Chlamydiales_unclassified" ""
"Otu00164" "Bacteria" "Bacteroidetes" "Bacteroidetes_unclassified" "Bacteroidetes_unclassified" "Bacteroidetes_unclassified" "Bacteroidetes_unclassified" ""
"Otu00165" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Burkholderiales_unclassified" "Burkholderiales_unclassified" ""
"Otu00166" "Bacteria" "Planctomycetes" "Planctomycetia" "Planctomycetales" "Planctomycetaceae" "Planctomycetaceae_unclassified" ""
"Otu00167" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Alphaproteobacteria_unclassified" "Alphaproteobacteria_unclassified" "Alphaproteobacteria_unclassified" ""
"Otu00168" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Oxalobacteraceae" "Oxalobacteraceae_unclassified" ""
"Otu00169" "Bacteria" "Firmicutes" "Firmicutes_unclassified" "Firmicutes_unclassified" "Firmicutes_unclassified" "Firmicutes_unclassified" ""
"Otu00170" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Gammaproteobacteria_unclassified" "Gammaproteobacteria_unclassified" "Gammaproteobacteria_unclassified" ""
"Otu00171" "Bacteria" "Actinobacteria" "Actinobacteria" "Actinobacteria_unclassified" "Actinobacteria_unclassified" "Actinobacteria_unclassified" ""
"Otu00172" "Bacteria" "Bacteroidetes" "Bacteroidetes_unclassified" "Bacteroidetes_unclassified" "Bacteroidetes_unclassified" "Bacteroidetes_unclassified" ""
"Otu00173" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Gammaproteobacteria_unclassified" "Gammaproteobacteria_unclassified" "Gammaproteobacteria_unclassified" ""
"Otu00174" "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Streptococcaceae" "Lactococcus" ""
"Otu00175" "Bacteria" "Planctomycetes" "Planctomycetia" "Planctomycetales" "Planctomycetaceae" "Planctomycetaceae_unclassified" ""
"Otu00176" "Bacteria" "Bacteria_unclassified" "Bacteria_unclassified" "Bacteria_unclassified" "Bacteria_unclassified" "Bacteria_unclassified" ""
"Otu00177" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Rhizobiales_unclassified" "Rhizobiales_unclassified" ""
"Otu00178" "Bacteria" "Bacteria_unclassified" "Bacteria_unclassified" "Bacteria_unclassified" "Bacteria_unclassified" "Bacteria_unclassified" ""
"Otu00179" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" "Methylobacterium" ""
"Otu00180" "Bacteria" "Firmicutes" "Negativicutes" "Selenomonadales" "Veillonellaceae" "Veillonellaceae_unclassified" ""
"Otu00181" "Bacteria" "Firmicutes" "Firmicutes_unclassified" "Firmicutes_unclassified" "Firmicutes_unclassified" "Firmicutes_unclassified" ""
"Otu00182" "Bacteria" "Firmicutes" "Bacilli" "Bacillales" "Bacillaceae_1" "Bacillaceae_1_unclassified" ""
"Otu00183" "Bacteria" "Firmicutes" "Firmicutes_unclassified" "Firmicutes_unclassified" "Firmicutes_unclassified" "Firmicutes_unclassified" ""
"Otu00184" "Bacteria" "Actinobacteria" "Actinobacteria" "Actinomycetales" "Nocardioidaceae" "Marmoricola" ""
"Otu00185" "Bacteria" "Planctomycetes" "Planctomycetia" "Planctomycetales" "Planctomycetaceae" "Planctomycetaceae_unclassified" ""
"Otu00186" "Bacteria" "Planctomycetes" "Planctomycetia" "Planctomycetales" "Planctomycetaceae" "Planctomycetaceae_unclassified" ""
"Otu00187" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Gracilibacteraceae" "Gracilibacter" ""
"Otu00188" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Porphyromonadaceae" "Dysgonomonas" ""
"Otu00189" "Bacteria" "Firmicutes" "Bacilli" "Bacillales" "Alicyclobacillaceae" "Tumebacillus" ""
"Otu00190" "Bacteria" "Actinobacteria" "Actinobacteria" "Actinomycetales" "Nocardioidaceae" "Marmoricola" ""
"Otu00191" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylocystaceae" "Methylocystis" ""
"Otu00192" "Bacteria" "Chloroflexi" "Caldilineae" "Caldilineales" "Caldilineaceae" "Caldilinea" ""
"Otu00193" "Bacteria" "Proteobacteria" "Proteobacteria_unclassified" "Proteobacteria_unclassified" "Proteobacteria_unclassified" "Proteobacteria_unclassified" ""
"Otu00194" "Bacteria" "Actinobacteria" "Actinobacteria" "Acidimicrobiales" "Acidimicrobiaceae" "Ilumatobacter" ""
"Otu00195" "Bacteria" "Bacteria_unclassified" "Bacteria_unclassified" "Bacteria_unclassified" "Bacteria_unclassified" "Bacteria_unclassified" ""
